"REF_DATE","GEO","DGUID","Labour force characteristics","National Occupational Classification (NOC)","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-11","Canada","2016A000011124","Unemployment rate","Specialized middle management occupations [01-05]","Females","Percentage","242","units","0","v102040299","1.6.4.3","1.5","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","1.2","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","1.7","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","2.8","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","4.3","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","6.3","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","4.2","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","4.8","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","3.8","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","3.3","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","3.5","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Both sexes","Percentage","242","units","0","v102040300","1.6.5.1","2.7","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","1.1","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","2.0","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","2.4","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","2.7","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","5.6","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","3.2","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","4.7","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","3.4","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","2.8","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","2.7","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Males","Percentage","242","units","0","v102040301","1.6.5.2","3.7","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Females","Percentage","242","units","0","v102040302","1.6.5.3","1.3","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Females","Percentage","242","units","0","v102040302","1.6.5.3","1.4","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Females","Percentage","242","units","0","v102040302","1.6.5.3","3.3","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Females","Percentage","242","units","0","v102040302","1.6.5.3","6.6","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Females","Percentage","242","units","0","v102040302","1.6.5.3","7.4","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Females","Percentage","242","units","0","v102040302","1.6.5.3","5.8","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Females","Percentage","242","units","0","v102040302","1.6.5.3","5.1","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Females","Percentage","242","units","0","v102040302","1.6.5.3","4.4","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Females","Percentage","242","units","0","v102040302","1.6.5.3","4.2","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Middle management occupations in retail and wholesale trade and customer services [06]","Females","Percentage","242","units","0","v102040302","1.6.5.3","4.6","","","","1"
